NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_75	ENSG00000091137	21033	-1.048616647720337	-0.40891263	Yes	
row_76	ENSG00000038427	21176	-1.0813562870025635	-0.39878607	Yes	
row_77	ENSG00000108691	21183	-1.0834354162216187	-0.38303575	Yes	
row_78	ENSG00000138685	21378	-1.1293480396270752	-0.37433907	Yes	
row_79	ENSG00000149591	21411	-1.1400041580200195	-0.35882276	Yes	
row_80	ENSG00000113578	21505	-1.1640549898147583	-0.34546	Yes	
row_81	ENSG00000155330	21533	-1.1689585447311401	-0.32931057	Yes	
row_82	ENSG00000122786	21548	-1.1718379259109497	-0.31258398	Yes	
row_83	ENSG00000011465	21551	-1.1721104383468628	-0.29535988	Yes	
row_84	ENSG00000119946	21582	-1.180851697921753	-0.27915823	Yes	
row_85	ENSG00000168542	22005	-1.3138614892959595	-0.27711374	Yes	
row_86	ENSG00000186407	22287	-1.39614999294281	-0.2680556	Yes	
row_87	ENSG00000198959	22382	-1.4365428686141968	-0.2507106	Yes	
row_88	ENSG00000182836	22417	-1.4508213996887207	-0.2306873	Yes	
row_89	ENSG00000115461	22864	-1.6505268812179565	-0.22465892	Yes	
row_90	ENSG00000107796	22963	-1.6996135711669922	-0.20359418	Yes	
row_91	ENSG00000041982	22997	-1.7126984596252441	-0.1796631	Yes	
row_92	ENSG00000114251	23077	-1.7421703338623047	-0.15718864	Yes	
row_93	ENSG00000196154	23095	-1.7520067691802979	-0.13201918	Yes	
row_94	ENSG00000107518	23138	-1.7724859714508057	-0.10757546	Yes	
row_95	ENSG00000149968	23183	-1.7968428134918213	-0.08285436	Yes	
row_96	ENSG00000143127	23191	-1.8014960289001465	-0.05654293	Yes	
row_97	ENSG00000148795	23784	-2.244468927383423	-0.04774918	Yes	
row_98	ENSG00000163631	23846	-2.3229122161865234	-0.015959732	Yes	
row_99	ENSG00000189221	24041	-2.66294527053833	0.015380696	Yes	
